Industry,21-Jul,···,22-Apr,22-May,22-Jun,22-Jul,MoM% Change,YoY% Change
"Transportation, Logistics and Storage",1.36,···,1.44,1.42,NA,NA,NA,NA
"Transportation, Logistics, Supply Chain and Storage",NA,···,NA,NA,1.35,1.26,,NA
Utilities,1.04,···,1.16,1.13,1.06,1.12,5.6,7.2
Holding Companies,1.01,···,1.33,1.21,1.17,1.07,-8,6.5
Education,1.12,···,1.36,1.25,1.22,1.15,-6.2,2.9
Administrative and Support Services,1.16,···,1.25,1.23,1.15,1.18,3.3,2
Consumer Services,1.09,···,1.23,1.18,1.11,1.07,-3,-1.8
Construction,1.17,···,1.3,1.33,1.26,1.15,-9.1,-1.8
Financial Services,1.21,···,1.43,1.33,1.25,1.17,-6.8,-3.7
Government Administration,1.03,···,1.17,1.16,1.09,0.99,-8.5,-3.7
"Oil, Gas, and Mining",1.04,···,1.16,1.13,1.08,0.99,-8.2,-5.2
Hospitals and Health Care,1.21,···,1.26,1.29,1.21,1.15,-5.1,-5.3
"Technology, Information and Media",1.35,···,1.49,1.47,1.32,1.27,-3.3,-5.6
Retail,1.03,···,1.12,1.08,0.93,0.94,0.8,-9.3
Wholesale,1.17,···,1.15,1.14,1.1,1.05,-4.6,-10.5
Entertainment Providers,1.12,···,1.2,1.15,1.02,0.99,-2.8,-11.3
Professional Services,1.23,···,1.31,1.26,1.16,1.09,-5.9,-11.3
Manufacturing,1.17,···,1.27,1.19,1.12,1.03,-7.7,-11.7
Real Estate and Equipment Rental Services,1.28,···,1.36,1.33,1.22,1.12,-7.8,-12.1
Accommodation,1.17,···,1.14,1.17,1.09,0.97,-11.2,-16.7
