Industry,23-May,···,24-Feb,24-Mar,24-Apr,24-May,MoM% Change,YoY% Change
Accommodation and Food Services,0.97,···,0.94,0.95,0.94,0.97,3.5,0.1
Administrative and Support Services,0.91,···,0.91,0.9,0.87,0.84,-3,-7.3
Construction,1.27,···,1.17,1.18,1.17,1.22,4.1,-4.2
Consumer Services,1.17,···,1.18,1.15,1.19,1.16,-1.7,-0.5
Education,1.22,···,1.16,1.12,1.16,1.26,8.2,2.5
Entertainment Providers,0.99,···,0.93,0.92,0.91,0.94,4.1,-4.4
"Farming, Ranching, Forestry",1.2,···,1.08,1.09,1.1,1.12,1.8,-6.7
Financial Services,1.09,···,0.99,0.97,0.97,1.02,5,-6.7
Government Administration,1.21,···,1.12,1.1,1.08,1.15,6.2,-4.9
Holding Companies,0.91,···,0.81,0.67,0.87,0.75,-13.7,-17.8
Hospitals and Health Care,1.22,···,1.12,1.11,1.1,1.15,4.8,-5.7
Manufacturing,1.04,···,0.9,0.89,0.91,0.91,-0.4,-13
"Oil, Gas, and Mining",1.09,···,0.89,0.87,0.87,0.92,6.4,-15.4
Professional Services,1,···,0.9,0.89,0.87,0.92,5.2,-8.4
Real Estate and Equipment Rental Services,1.06,···,0.95,0.97,0.96,0.86,-10.3,-18.6
Retail,0.9,···,0.85,0.84,0.82,0.83,0.8,-7.6
"Technology, Information and Media",0.87,···,0.87,0.86,0.86,0.88,2.2,1
"Transportation, Logistics, Supply Chain and Storage",1.16,···,1.02,1.01,1.01,1.02,0.8,-12.6
Utilities,1.41,···,1.12,1.22,1.16,1.16,0.6,-17.3
Wholesale,0.86,···,0.83,0.85,0.84,0.78,-7.4,-9.7
