Industry,21-Mar,···,21-Dec,22-Jan,22-Feb,22-Mar,MoM% Change,YoY% Change
Accommodation,1.06,···,1.14,1.21,1.16,1.15,-1.4,7.7
Administrative and Support Services,1.13,···,1.18,1.29,1.25,1.26,0.4,11.7
Construction,1.3,···,1.22,1.35,1.25,1.25,-0.2,-3.5
Consumer Services,1.13,···,1.11,1.16,1.13,1.13,-0.4,-0.8
Education,1.19,···,1.26,1.26,1.28,1.27,-0.2,7.4
Entertainment Providers,1.07,···,1.19,1.24,1.23,1.21,-1.9,12.8
"Farming, Ranching, Forestry",1.37,···,1.24,1.3,1.28,1.32,2.6,-3.7
Financial Services,1.3,···,1.37,1.36,1.32,1.36,3.2,4.5
Government Administration,1.12,···,1.08,1.11,1.07,1.09,1.9,-2.2
Hospitals and Health Care,1.27,···,1.22,1.35,1.2,1.23,2.5,-3.3
Manufacturing,1.23,···,1.23,1.21,1.17,1.17,0.3,-4.6
"Oil, Gas, and Mining",1.02,···,1.15,1.11,1.06,1.08,1.6,5.9
Professional Services,1.3,···,1.33,1.31,1.29,1.34,3.7,2.7
Real Estate and Equipment Rental Services,1.4,···,1.28,1.3,1.25,1.29,2.9,-7.6
Retail,1.06,···,1.06,1.09,1.05,1.05,0.6,-0.5
"Technology, Information and Media",1.41,···,1.47,1.52,1.46,1.48,1.2,5
"Transportation, Logistics and Storage",1.34,···,1.38,1.51,1.43,1.48,3.1,10.2
Utilities,1.1,···,1.04,1.11,1.21,1.08,-10.9,-2.3
Wholesale,1.23,···,1.14,1.13,1.09,1.14,4.4,-7.6
