Industry,23-Jul,···,24-Apr,24-May,24-Jun,24-Jul,MoM% Change,YoY% Change
Accommodation and Food Services,0.97,···,0.94,0.97,0.87,0.9,3.3,-7
Administrative and Support Services,0.93,···,0.87,0.84,0.78,0.82,4.6,-12.4
Construction,1.21,···,1.17,1.22,1.19,1.15,-3.5,-5.2
Consumer Services,1.12,···,1.19,1.14,1.08,1.11,3,-0.7
Education,1.2,···,1.16,1.22,1.13,1.09,-3.9,-8.7
Entertainment Providers,0.95,···,0.91,0.93,0.9,0.89,-0.4,-5.9
"Farming, Ranching, Forestry",1.14,···,1.1,1.11,1.03,0.99,-4.2,-13.8
Financial Services,1.04,···,0.97,1.01,0.95,0.92,-3.7,-11.7
Government Administration,1.19,···,1.08,1.14,1.07,1.04,-3.4,-12.7
Holding Companies,0.84,···,0.87,0.75,0.77,0.79,2.5,-6.6
Hospitals and Health Care,1.19,···,1.1,1.14,1.08,1.06,-1.6,-10.2
Manufacturing,0.99,···,0.91,0.9,0.89,0.87,-2.2,-12.3
"Oil, Gas, and Mining",1.01,···,0.87,0.91,0.87,0.85,-1.8,-15.3
Professional Services,0.91,···,0.87,0.92,0.88,0.85,-3.8,-6.8
Real Estate and Equipment Rental Services,1.07,···,0.96,0.86,0.9,0.91,0.9,-15.5
Retail,0.85,···,0.82,0.81,0.76,0.78,2.7,-7.4
"Technology, Information and Media",0.8,···,0.86,0.87,0.84,0.86,2.8,7.2
"Transportation, Logistics, Supply Chain and Storage",1.15,···,1.01,1.02,1.02,1.01,-1.2,-12.4
Utilities,1.35,···,1.16,1.16,1.17,1.15,-1.3,-14.7
Wholesale,0.93,···,0.84,0.77,0.75,0.77,1.9,-17.4
