Industry,Aug-24,···,May-25,Jun-25,Jul-25,Aug-25,MoM% Change,YoY% Change
Accommodation and Food Services,0.86,···,0.92,0.84,0.9,0.94,3.5,8.4
Administrative and Support Services,0.8,···,0.8,0.76,0.8,0.81,0.6,0.3
Construction,1.15,···,1.22,1.13,1.16,1.16,-0.2,0.6
Consumer Services,1.15,···,1.09,1.05,1.06,1.06,-0.1,-7.5
Education,1.13,···,1.14,1.04,1.04,1.04,0,-7.7
Entertainment Providers,0.9,···,0.9,0.85,0.89,0.9,1.2,-0.1
"Farming, Ranching, Forestry",0.97,···,1.07,1,0.88,0.93,6,-3.8
Financial Services,0.96,···,1.04,0.86,0.94,0.95,0.5,-1.6
Government Administration,1.04,···,0.98,0.91,0.91,0.9,-1,-14
Holding Companies,0.72,···,0.77,0.72,0.7,0.73,5.2,1
Hospitals and Health Care,1.08,···,1.09,1.05,1.04,1.06,1.1,-2
Manufacturing,0.86,···,0.84,0.77,0.8,0.81,1.6,-5.7
"Oil, Gas, and Mining",0.83,···,0.81,0.75,0.81,0.75,-6.8,-8.8
Professional Services,0.86,···,0.87,0.77,0.82,0.83,0.3,-3.4
Real Estate and Equipment Rental Services,0.87,···,0.89,0.85,0.9,0.88,-2.1,1.1
Retail,0.79,···,0.75,0.7,0.78,0.8,2.6,1.6
"Technology, Information and Media",0.84,···,0.88,0.77,0.85,0.87,1.2,2.9
"Transportation, Logistics, Supply Chain and Storage",0.99,···,0.96,0.87,0.95,0.97,2.3,-1.7
Utilities,1.14,···,1.17,1.09,1.16,1.09,-5.8,-3.9
Wholesale,0.79,···,0.68,0.64,0.74,0.71,-3.9,-9.4
