Industry,22-Dec,···,23-Sep,23-Oct,23-Nov,23-Dec,MoM% Change,YoY% Change
Accommodation and Food Services,1,···,0.9,0.93,0.92,0.93,0.7,-7.4
Administrative and Support Services,1.04,···,0.85,0.91,0.86,0.93,7.9,-10.3
Construction,1.14,···,1.11,1.16,1.07,1.1,2.8,-3.3
Consumer Services,1.09,···,1.04,1.11,1.1,1.11,0.8,2.5
Education,1.17,···,1.06,1.1,1.05,1.08,3.3,-7.6
Entertainment Providers,0.92,···,0.86,0.87,0.84,0.84,0.3,-8
"Farming, Ranching, Forestry",1.23,···,1.04,1.02,0.97,1,2.3,-18.9
Financial Services,1.12,···,0.91,0.94,0.86,0.9,4.7,-19.8
Government Administration,1.12,···,1.02,1.08,1.04,1.07,3,-3.7
Holding Companies,0.91,···,0.69,0.72,0.69,0.72,4.7,-20
Hospitals and Health Care,1.13,···,1.03,1.07,1.02,1.06,3.7,-6.2
Manufacturing,0.98,···,0.87,0.91,0.82,0.9,9.8,-7.6
"Oil, Gas, and Mining",0.97,···,0.86,0.87,0.83,0.84,0.3,-13.5
Professional Services,0.97,···,0.83,0.84,0.82,0.83,0.7,-14.7
Real Estate and Equipment Rental Services,1.08,···,0.94,0.95,0.94,0.96,2.2,-11.5
Retail,0.96,···,0.74,0.75,0.75,0.85,13.6,-11.2
"Technology, Information and Media",0.91,···,0.77,0.81,0.75,0.82,9.8,-10.1
"Transportation, Logistics, Supply Chain and Storage",1.19,···,1.03,1,0.96,0.95,-1.9,-20.5
Utilities,1.32,···,1.15,1.16,1.08,1.1,1.5,-16.9
Wholesale,0.96,···,0.84,0.86,0.84,0.89,6.4,-7.5
