Industry,23-Apr,···,24-Jan,24-Feb,24-Mar,24-Apr,MoM% Change,YoY% Change
Accommodation and Food Services,1,···,0.92,0.96,0.98,0.94,-3.6,-6.1
Administrative and Support Services,1,···,0.81,0.91,0.91,0.87,-3.9,-13
Construction,1.24,···,1.18,1.17,1.18,1.17,-1,-5.5
Consumer Services,1.19,···,1.11,1.17,1.15,1.19,3.5,0
Education,1.26,···,1.14,1.15,1.12,1.16,3.5,-7.5
Entertainment Providers,0.98,···,0.94,0.93,0.92,0.91,-1.2,-7
"Farming, Ranching, Forestry",1.31,···,1.06,1.08,1.09,1.1,0.8,-16.1
Financial Services,1.12,···,0.96,0.99,0.97,0.97,-0.1,-13.7
Government Administration,1.24,···,1.09,1.12,1.11,1.08,-2.4,-12.5
Holding Companies,0.93,···,0.8,0.78,0.71,0.86,22.6,-7.2
Hospitals and Health Care,1.22,···,1.1,1.12,1.12,1.1,-1.9,-10.2
Manufacturing,1.04,···,0.87,0.9,0.88,0.91,3.1,-12.5
"Oil, Gas, and Mining",1.11,···,0.88,0.89,0.87,0.87,-0.4,-21.4
Professional Services,0.97,···,0.89,0.9,0.89,0.87,-2.5,-10.1
Real Estate and Equipment Rental Services,1.08,···,0.94,0.95,0.97,0.96,-0.6,-10.7
Retail,0.88,···,0.81,0.86,0.85,0.82,-3,-6.7
"Technology, Information and Media",0.88,···,0.82,0.87,0.86,0.86,0.3,-2.3
"Transportation, Logistics, Supply Chain and Storage",1.18,···,1.03,1.02,1,1.01,0.6,-14.5
Utilities,1.48,···,1.14,1.12,1.22,1.16,-4.9,-22
Wholesale,0.94,···,0.82,0.83,0.85,0.84,-1.3,-10
