Industry,22-Aug,···,23-May,23-Jun,23-Jul,23-Aug,MoM% Change,YoY% Change
Accommodation and Food Services,1.05,···,0.9,0.87,0.92,0.86,-6.7,-18
Administrative and Support Services,1.23,···,0.94,0.79,0.86,0.81,-5.6,-33.7
Construction,1.31,···,1.2,1.13,1.12,1.06,-5.4,-18.7
Consumer Services,1.14,···,1.05,0.96,1,0.89,-11.3,-21.9
Education,1.22,···,1.18,1.1,1.08,1.04,-3.7,-15.3
Entertainment Providers,1.02,···,0.9,0.87,0.86,0.81,-5,-20.1
"Farming, Ranching, Forestry",1.28,···,1.11,1.13,1.05,1,-5.2,-22.2
Financial Services,1.33,···,1,0.99,0.92,0.85,-7.1,-35.6
Government Administration,1.15,···,1.12,1.03,1.08,0.99,-8.6,-13.9
Holding Companies,1.2,···,0.92,0.85,0.66,0.69,5.5,-42.4
Hospitals and Health Care,1.33,···,1.16,1.09,1.13,1.03,-8.9,-22.9
Manufacturing,1.17,···,0.96,0.91,0.9,0.83,-7.6,-29.1
"Oil, Gas, and Mining",1.11,···,1,0.9,0.87,0.84,-3.9,-24.4
Professional Services,1.12,···,0.93,0.88,0.82,0.79,-3.7,-29.1
Real Estate and Equipment Rental Services,1.19,···,0.97,0.94,0.97,0.91,-5.7,-23.4
Retail,1.01,···,0.84,0.72,0.77,0.69,-10.7,-32.1
"Technology, Information and Media",1.25,···,0.83,0.76,0.73,0.72,-2.5,-42.9
"Transportation, Logistics, Supply Chain and Storage",1.34,···,1.11,1.08,1.04,1.01,-2.7,-24.7
Utilities,1.44,···,1.26,1.19,1.23,1.11,-9.4,-22.8
Wholesale,1.11,···,0.8,0.75,0.83,0.71,-13.9,-35.6
