Industry,22-Jun,···,23-Mar,23-Apr,23-May,23-Jun,MoM% Change,YoY% Change
Accommodation and Food Services,1.11,···,0.94,0.96,0.9,0.9,-0.8,-19.3
Administrative and Support Services,1.18,···,0.97,0.92,0.94,0.87,-6.7,-25.8
Construction,1.34,···,1.07,1.08,1.2,1.13,-5.2,-15.7
Consumer Services,1.16,···,1.08,1.11,1.05,1.02,-2.1,-11.7
Education,1.25,···,1.21,1.18,1.18,1.12,-5.4,-10.5
Entertainment Providers,1.04,···,0.85,0.88,0.9,0.88,-1.5,-14.8
"Farming, Ranching, Forestry",1.39,···,1.22,1.15,1.11,1.13,1.7,-18.8
Financial Services,1.32,···,1.04,0.99,1,1.04,3.7,-21.2
Government Administration,1.19,···,1.08,1.11,1.12,1.07,-5,-10.3
Holding Companies,1.21,···,0.87,0.83,0.92,0.94,1.5,-22.7
Hospitals and Health Care,1.3,···,1.14,1.1,1.16,1.1,-5.2,-14.9
Manufacturing,1.19,···,0.93,0.89,0.96,0.92,-4.1,-22.2
"Oil, Gas, and Mining",1.13,···,0.96,0.94,1,0.9,-9.6,-20.5
Professional Services,1.21,···,0.92,0.92,0.93,0.92,-1.4,-23.9
Real Estate and Equipment Rental Services,1.29,···,0.99,1,0.97,0.94,-3.4,-27.2
Retail,1.01,···,0.84,0.79,0.84,0.69,-18.2,-32
"Technology, Information and Media",1.33,···,0.8,0.78,0.83,0.77,-6.6,-41.8
"Transportation, Logistics, Supply Chain and Storage",1.4,···,1.11,1.11,1.11,1.09,-2.3,-22
Utilities,1.27,···,1.31,1.19,1.26,1.2,-4.9,-5.7
Wholesale,1.15,···,0.86,0.84,0.8,0.78,-1.6,-31.6
