Industry,22-Apr,···,23-Jan,23-Feb,23-Mar,23-Apr,MoM% Change,YoY% Change
Accommodation and Food Services,1.22,···,0.98,0.98,0.96,0.96,-0.3,-21.6
Administrative and Support Services,1.28,···,1,0.98,0.97,0.92,-5.2,-28.4
Construction,1.33,···,1.18,1.09,1.08,1.06,-1.2,-20.1
Consumer Services,1.24,···,1.09,1.1,1.09,1.1,1.3,-11.1
Education,1.35,···,1.15,1.18,1.2,1.19,-1,-12.4
Entertainment Providers,1.11,···,0.92,0.88,0.88,0.86,-2.3,-22.2
"Farming, Ranching, Forestry",1.49,···,1.14,1.09,1.15,1.14,-1.6,-23.8
Financial Services,1.44,···,1.13,1.05,1.06,0.98,-7.8,-31.7
Government Administration,1.19,···,1.14,1.08,1.11,1.1,-0.5,-7.8
Holding Companies,1.29,···,0.93,0.84,0.83,0.82,-2.1,-36.7
Hospitals and Health Care,1.29,···,1.16,1.1,1.13,1.08,-4.3,-16.3
Manufacturing,1.24,···,0.99,0.91,0.94,0.89,-5.5,-28.3
"Oil, Gas, and Mining",1.14,···,0.98,0.92,0.99,0.92,-7.5,-19.2
Professional Services,1.33,···,0.94,0.92,0.9,0.87,-3.2,-34.3
Real Estate and Equipment Rental Services,1.35,···,0.97,1,1.01,0.99,-1.6,-26.5
Retail,1.1,···,0.87,0.85,0.86,0.79,-7.8,-28.3
"Technology, Information and Media",1.54,···,0.9,0.81,0.82,0.77,-5.5,-49.9
"Transportation, Logistics, Supply Chain and Storage",1.45,···,1.15,1.12,1.09,1.08,-1.4,-26.1
Utilities,1.38,···,1.3,1.24,1.27,1.22,-3.5,-11.4
Wholesale,1.2,···,0.87,0.86,0.89,0.81,-8.8,-31.9
