Industry,21-Jun,···,22-Mar,22-Apr,22-May,22-Jun,MoM% Change,YoY% Change
Accommodation,1.4,···,1.17,1.14,1.17,1.19,2,-14.4
Administrative and Support Services,1.19,···,1.28,1.25,1.23,1.19,-3.6,-0.4
Construction,1.35,···,1.32,1.3,1.33,1.31,-1.9,-3.1
Consumer Services,1.21,···,1.15,1.23,1.18,1.14,-3,-6
Education,1.2,···,1.29,1.36,1.25,1.29,2.8,7.2
Entertainment Providers,1.11,···,1.21,1.2,1.15,1.13,-2.2,1.5
"Farming, Ranching, Forestry",1.39,···,1.39,1.31,1.21,1.28,6,-7.8
Financial Services,1.35,···,1.38,1.43,1.33,1.3,-2.2,-3.2
Government Administration,1.17,···,1.14,1.17,1.16,1.16,-0.7,-1
Holding Companies,1.19,···,1.33,1.33,1.21,1.24,2.7,3.9
Hospitals and Health Care,1.37,···,1.28,1.26,1.29,1.28,-0.4,-6.1
Manufacturing,1.27,···,1.22,1.27,1.19,1.2,0.9,-6.1
"Oil, Gas, and Mining",1.1,···,1.18,1.16,1.13,1.12,-1.2,2.2
Professional Services,1.28,···,1.38,1.31,1.26,1.21,-4.2,-5.4
Real Estate and Equipment Rental Services,1.45,···,1.35,1.36,1.33,1.25,-5.7,-13.3
Retail,1.17,···,1.12,1.12,1.08,1,-6.8,-13.9
"Technology, Information and Media",1.4,···,1.51,1.49,1.47,1.33,-9.1,-4.6
"Transportation, Logistics and Storage",1.39,···,1.51,1.44,1.42,1.35,-4.5,-2.8
Utilities,1.12,···,1.16,1.16,1.13,1.09,-3.6,-2.6
Wholesale,1.3,···,1.19,1.15,1.14,1.09,-4.4,-16.5
